Name,CodigoProvincia,CCAA,Population,TotalCensus,AbstentionPtge,AbstencionAlta,Izda_Pct,Dcha_Pct,Otros_Pct,Izquierda,Derecha,Age_0-4_Ptge,Age_under19_Ptge,Age_19_65_pct,Age_over65_pct,WomanPopulationPtge,ForeignersPtge,SameComAutonPtge,SameComAutonDiffProvPtge,DifComAutonPtge,UnemployLess25_Ptge,Unemploy25_40_Ptge,UnemployMore40_Ptge,AgricultureUnemploymentPtge,IndustryUnemploymentPtge,ConstructionUnemploymentPtge,ServicesUnemploymentPtge,totalEmpresas,Industria,Construccion,ComercTTEHosteleria,Servicios,ActividadPpal,inmuebles,Pob2010,SUPERFICIE,Densidad,PobChange_pct,PersonasInmueble,Explotaciones
Aldeanueva del Camino,10,Extremadura,791,675,28.444,0,49.276,47.826,0.207,1,0,3.666,13.401,53.857,32.742,51.58,3.03,73.957,0.759,20.48,10.39,38.961,50.649,2.597,12.987,18.182,57.143,81,0,0,0,0,Otro,751,797,2005.3558,MuyBaja,-0.75,1.05,46
Aldehuela de Jerte,10,Extremadura,367,330,28.182,0,56.54,40.506,2.11,1,0,2.452,14.714,62.398,22.888,45.504,0.27,95.095,0.817,4.632,11.905,26.19,61.905,14.286,0,9.524,71.429,18,0,0,0,0,Otro,226,382,1175.8613,MuyBaja,-3.93,1.62,30
Alía,10,Extremadura,936,825,24.848,0,43.064,54.516,0.484,0,1,1.282,9.295,55.235,35.47,50.214,2.24,82.051,3.632,14.957,10.976,29.268,59.756,12.195,1.22,20.732,58.537,46,0,0,0,0,Otro,"1,491",998,59951.0845,MuyBaja,-6.21,0.63,402
Aliseda,10,Extremadura,1957,1689,34.813,1,60.036,36.603,0.999,1,0,2.606,13.235,59.787,26.981,49.77,0.56,93.153,1.482,5.825,13.228,40.741,46.032,11.111,2.116,12.169,69.841,88,14,14,44,16,ComercTTEHosteleria,"1,609","1,994",8051.3659,MuyBaja,-1.86,1.22,98
Almaraz,10,Extremadura,1669,1498,29.039,0,40.922,55.598,2.352,0,1,4.494,16.237,67.525,16.237,48.772,6.41,72.798,1.678,19.533,13.095,53.571,33.333,5.357,17.857,16.071,56.548,73,12,7,32,22,ComercTTEHosteleria,702,"1,426",3390.5489,MuyBaja,17.04,2.38,24
Almoharín,10,Extremadura,1933,1605,26.168,0,54.346,42.954,0.591,1,0,3.828,16.606,58.717,24.677,50.957,1.71,90.998,3.104,6.725,19.595,44.595,35.811,14.189,5.405,8.108,67.568,96,12,15,49,20,ComercTTEHosteleria,"1,161","2,020",9339.38,MuyBaja,-4.31,1.66,265
Arroyo de la Luz,10,Extremadura,6042,5147,27.259,0,57.639,37.954,1.015,1,0,3.112,15.459,61.553,22.99,50.414,0.96,93.909,0.794,4.998,8.483,35.245,56.272,2.27,7.168,20.43,62.843,306,25,60,148,73,ComercTTEHosteleria,"3,762","6,467",12805.7445,MuyBaja,-6.57,1.61,159
Arroyomolinos,10,Extremadura,787,835,26.228,0,58.929,38.474,0.812,1,0,0.508,10.292,54.002,35.705,46.633,0.64,91.995,2.922,5.972,13.433,50.746,35.821,19.403,2.985,19.403,53.731,37,0,0,0,0,Otro,983,978,11550.8,MuyBaja,-19.53,0.8,232
Arroyomolinos de la Vera,10,Extremadura,471,427,18.267,0,54.728,42.98,0,1,0,1.486,11.253,50.531,38.217,49.469,0.21,94.268,0.212,5.308,9.091,48.485,42.424,9.091,3.03,21.212,66.667,17,0,0,0,0,Otro,451,493,2319.2844,MuyBaja,-4.46,1.04,118
Baños de Montemayor,10,Extremadura,774,695,24.46,0,32.572,64.38,1.524,0,1,2.326,14.6,55.815,29.586,51.938,1.29,66.021,0.904,31.008,11.429,45.714,42.857,0,2.857,5.714,88.571,56,0,0,0,0,Otro,742,751,2197.5768,MuyBaja,3.06,1.04,30
Barrado,10,Extremadura,434,400,18.25,0,52.599,42.202,2.141,1,0,1.152,11.52,55.53,32.948,48.387,0.23,94.931,0.461,4.839,6.25,53.125,40.625,15.625,0,15.625,65.625,18,0,0,0,0,Otro,415,473,2129.1708,MuyBaja,-8.25,1.05,128
Belvís de Monroy,10,Extremadura,650,648,22.84,0,48.2,47.6,1.2,1,0,2,12,62.154,25.847,48.154,0.62,71.538,2.462,24,8.974,42.308,48.718,2.564,12.821,16.667,65.385,31,0,0,0,0,Otro,664,665,4498.2188,?,-2.26,0.98,58
Benquerencia,10,Extremadura,80,77,10.39,0,53.623,43.478,1.449,1,0,0,0,65,35,45,3.75,88.75,1.25,7.5,0,25,75,0,0,25,75,0,0,0,0,0,Otro,117,92,1331.1767,MuyBaja,-13.04,0.68,28
Berrocalejo,10,Extremadura,125,90,18.889,0,53.425,46.576,0,1,0,1.6,7.2,53.6,39.2,47.2,16.8,47.2,2.4,34.4,0,33.333,66.667,0,33.333,33.333,33.333,4,0,0,0,0,Otro,323,127,1583.244,MuyBaja,-1.57,0.39,18
Berzocana,10,Extremadura,461,414,18.116,0,62.831,34.514,0.885,1,0,1.518,7.808,57.918,34.274,48.807,1.74,90.672,0.868,7.375,6.25,28.125,65.625,12.5,0,9.375,75,24,0,0,0,0,Otro,508,520,13359.138,MuyBaja,-11.35,0.91,98
Bohonal de Ibor,10,Extremadura,499,465,33.548,1,41.424,57.606,0.647,0,1,1.603,6.814,40.482,52.706,49.299,3.41,79.76,0.401,14.629,12.195,34.146,53.659,2.439,4.878,12.195,70.732,26,0,0,0,0,Otro,670,558,6460.1556,MuyBaja,-10.57,0.74,206
Botija,10,Extremadura,189,165,18.182,0,38.518,58.518,1.481,0,1,2.116,10.582,56.615,32.804,46.561,1.06,82.54,3.175,15.344,6.667,26.667,66.667,0,6.667,20,66.667,11,0,0,0,0,Otro,261,211,1882.0314,MuyBaja,-10.43,0.72,42
Brozas,10,Extremadura,1953,1681,25.223,0,45.107,52.745,0.159,0,1,2.816,14.03,54.48,31.489,49.974,0.51,91.347,1.024,7.834,12.5,38.068,49.432,5.114,4.545,11.932,77.273,109,14,26,47,22,ComercTTEHosteleria,"1,586","2,112",39884.4747,MuyBaja,-7.53,1.23,217
Cabañas del Castillo,10,Extremadura,470,423,24.35,0,35.937,64.062,0,0,1,1.489,8.51,49.574,41.914,46.17,-0.4,92.34,1.064,6.383,9.091,36.364,54.545,33.333,0,18.182,45.455,16,0,0,0,0,Otro,525,394,10527.0169,MuyBaja,19.29,0.9,103
Cabezabellosa,10,Extremadura,381,353,26.346,0,48.846,49.23,0,0,1,1.05,8.136,45.932,45.933,48.031,0.26,94.226,0.525,4.199,5.263,31.579,63.158,15.789,0,42.105,31.579,20,0,0,0,0,Otro,477,414,3355.7576,MuyBaja,-7.97,0.8,45
Cabezuela del Valle,10,Extremadura,2267,1920,30.052,1,62.919,33.73,0.894,1,0,2.25,15.836,60.167,23.997,48.39,-4.31,85.973,0.176,8.91,9.574,44.681,45.745,42.553,2.128,6.383,42.553,90,,,49,25,ComercTTEHosteleria,"1,527","2,255",5657.2255,MuyBaja,0.53,1.48,273
Cabrero,10,Extremadura,356,329,26.748,0,66.805,31.121,0.415,1,0,1.124,10.675,51.967,37.359,44.944,3.37,91.011,0,5.056,10.526,42.105,47.368,36.842,0,21.053,42.105,10,0,0,0,0,Otro,371,369,662.5224,MuyBaja,-3.52,0.96,73
Cáceres,10,Extremadura,95617,76234,27.717,0,39.244,57.009,1.827,0,1,4.672,20.207,64.028,15.766,51.947,2.45,83.264,4.79,12.661,9.093,48.975,41.932,2.123,4.205,10.218,74.551,"6,921",254,736,"2,412","3,519",Servicios,"53,281","94,179",175022.91,MuyBaja,1.53,1.79,657
Cachorrilla,10,Extremadura,93,87,21.839,0,30.882,67.647,1.471,0,1,1.075,8.602,56.989,34.41,47.312,2.15,82.796,3.226,15.054,16.667,16.667,66.667,0,16.667,0,83.333,5,0,0,0,0,Otro,85,101,4137.6328,MuyBaja,-7.92,1.09,16
Cadalso,10,Extremadura,468,417,30.216,1,46.048,53.608,0.344,0,1,1.282,10.256,52.563,37.181,50.214,0.64,88.462,0.214,9.188,7.143,40.476,52.381,4.762,4.762,14.286,76.19,15,0,0,0,0,Otro,395,508,735.34,MuyBaja,-7.87,1.18,56
Calzadilla,10,Extremadura,501,441,29.025,0,53.675,42.811,0.319,1,0,2.395,12.974,53.493,33.532,48.902,1,86.826,0.998,10.978,19.565,41.304,39.13,10.87,6.522,28.261,50,16,0,0,0,0,Otro,551,478,7633.9828,MuyBaja,4.81,0.91,104
Caminomorisco,10,Extremadura,1268,1057,24.787,0,49.183,47.17,1.384,1,0,3.47,15.3,60.095,24.606,47.397,3.16,86.987,0.552,8.912,9.184,36.735,54.082,19.388,3.061,26.531,44.898,60,,,30,16,ComercTTEHosteleria,853,"1,232",14706.2704,MuyBaja,2.92,1.49,293
Campillo de Deleitosa,10,Extremadura,52,84,25,0,65.08,34.92,0,1,0,0,0,26.922,73.077,57.692,0,98.077,0,1.923,0,62.5,37.5,0,0,12.5,87.5,4,0,0,0,0,Otro,169,76,2559.8219,MuyBaja,-31.58,0.31,51
Campo Lugar,10,Extremadura,916,800,29.75,0,59.43,38.434,0,1,0,2.293,12.774,61.245,25.983,49.891,1.53,91.048,23.799,6.987,16.25,37.5,46.25,25,3.75,3.75,56.25,37,0,0,0,0,Otro,795,"1,019",7305.5383,MuyBaja,-10.11,1.15,125
Cañamero,10,Extremadura,1709,1428,27.171,0,62.115,34.615,1.346,1,0,2.399,14.336,59.742,25.922,47.455,2.52,84.962,2.106,11.118,10.323,41.935,47.742,18.065,2.581,18.065,54.194,124,15,22,56,31,ComercTTEHosteleria,"2,046","1,783",15144.86,MuyBaja,-4.15,0.84,406
Cañaveral,10,Extremadura,1081,1019,25.221,0,56.825,41.208,0.656,1,0,1.203,9.991,56.058,33.951,50.971,0.37,87.327,0.463,12.026,14.655,32.759,52.586,4.31,1.724,22.414,69.828,83,5,16,46,16,ComercTTEHosteleria,"1,048","1,287",8647.8857,MuyBaja,-16.01,1.03,54
Carbajo,10,Extremadura,217,203,17.241,0,53.571,45.238,0.595,1,0,4.147,11.981,54.838,33.179,49.77,0.46,90.323,0,9.217,26.087,17.391,56.522,17.391,13.043,8.696,60.87,11,0,0,0,0,Otro,197,233,2793.9429,MuyBaja,-6.87,1.1,52
Carcaboso,10,Extremadura,1136,955,23.351,0,63.798,34.017,1.366,1,0,3.257,15.228,65.052,19.718,49.648,2.11,88.908,2.641,8.099,11.034,44.138,44.828,7.586,4.138,15.862,62.759,68,14,14,27,13,ComercTTEHosteleria,637,"1,118",2029.5236,MuyBaja,1.61,1.78,37
Carrascalejo,10,Extremadura,257,233,27.897,0,27.976,70.238,1.786,0,1,0.778,5.058,42.412,52.528,50.973,4.28,80.934,1.946,13.23,0,33.333,66.667,0,11.111,0,88.889,22,0,0,0,0,Otro,396,321,4847.6223,MuyBaja,-19.94,0.65,91
Casar de Cáceres,10,Extremadura,4664,3819,20.634,0,51.205,44.375,1.155,1,0,4.031,17.603,65.008,17.389,50.407,1.52,90.009,1.308,7.676,9.615,44.444,45.94,2.35,9.188,12.821,67.094,279,27,60,119,73,ComercTTEHosteleria,"2,844","4,841",13029.7949,MuyBaja,-3.66,1.64,172
Casar de Palomero,10,Extremadura,1245,1053,19.658,0,42.789,55.319,0.118,0,1,1.606,9.8,52.128,38.072,49.317,5.38,85.06,0.402,8.755,11.842,36.842,51.316,18.421,7.895,14.474,53.947,52,4,11,26,11,ComercTTEHosteleria,"1,021","1,392",3691.3839,MuyBaja,-10.56,1.22,321
Casares de las Hurdes,10,Extremadura,449,430,28.372,0,44.805,51.298,0,0,1,1.114,2.45,48.552,48.997,48.107,0,85.301,0.668,11.359,0,27.778,72.222,5.556,0,22.222,72.222,14,0,0,0,0,Otro,523,522,2075.1388,MuyBaja,-13.98,0.86,13
Casas de Don Antonio,10,Extremadura,204,183,28.962,0,21.538,73.847,3.846,0,1,2.941,10.783,47.551,41.666,50.49,2.45,82.353,4.902,13.235,0,66.667,33.333,8.333,0,8.333,83.333,7,0,0,0,0,Otro,209,200,3141.96,MuyBaja,2,0.98,33
Casas de Don Gómez,10,Extremadura,301,287,25.087,0,40.465,56.745,0,0,1,0.997,11.295,52.159,36.546,46.844,0,85.714,0.664,14.286,25,37.5,37.5,4.167,6.25,8.333,72.917,18,0,0,0,0,Otro,331,336,3115.7167,MuyBaja,-10.42,0.91,42
Casas de Millán,10,Extremadura,653,586,22.014,0,54.267,42.888,0.875,1,0,1.991,9.342,53.903,36.754,49.311,1.38,86.064,0.306,11.792,14.474,35.526,50,2.632,1.316,9.211,82.895,26,0,0,0,0,Otro,607,691,15291.1271,MuyBaja,-5.5,1.08,124
Casas de Miravete,10,Extremadura,157,143,18.182,0,69.231,29.915,0,1,0,1.911,7.644,49.682,42.676,35.669,1.27,73.885,0.637,24.204,21.429,42.857,35.714,28.571,0,0,57.143,8,0,0,0,0,Otro,226,139,5058.46,MuyBaja,12.95,0.69,21
Casas del Castañar,10,Extremadura,604,547,21.207,0,53.828,43.388,0.232,1,0,1.987,12.252,53.477,34.272,51.159,1.33,87.583,0.828,11.093,7.143,45.238,47.619,19.048,2.381,14.286,61.905,29,0,0,0,0,Otro,994,627,2463.4426,MuyBaja,-3.67,0.61,172
Casas del Monte,10,Extremadura,828,710,28.873,0,39.604,57.822,0.792,0,1,3.744,15.58,58.334,26.088,49.758,0.73,87.319,0.121,10.386,7.921,39.604,52.475,7.921,4.95,23.762,60.396,36,0,0,0,0,Otro,465,808,2760.8705,MuyBaja,2.48,1.78,85
Casatejada,10,Extremadura,1428,1021,29.677,0,53.76,41.922,2.646,1,0,4.342,21.429,59.383,19.187,48.389,15.97,72.689,1.05,11.275,21.429,39.286,39.286,10.119,8.929,8.929,63.095,57,8,11,26,12,ComercTTEHosteleria,945,"1,433",11182.2274,MuyBaja,-0.35,1.51,134
Casillas de Coria,10,Extremadura,416,364,30.495,1,54.941,42.292,0.395,1,0,2.163,10.336,50.721,38.942,51.923,0,90.865,0,8.413,2.941,52.941,44.118,14.706,2.941,32.353,47.059,13,0,0,0,0,Otro,468,467,6197.3154,MuyBaja,-10.92,0.89,63
Castañar de Ibor,10,Extremadura,1112,967,32.989,1,50.772,47.222,0.463,1,0,1.529,10.162,58.634,31.206,48.651,5.94,84.263,0.36,8.903,7.407,42.593,50,20.37,8.333,11.111,56.481,71,7,17,33,14,ComercTTEHosteleria,996,"1,198",14697.4581,MuyBaja,-7.18,1.12,481
Ceclavín,10,Extremadura,1943,1628,35.197,1,56.493,40.285,0.569,1,0,2.47,15.182,55.584,29.232,49.151,0.57,93.052,0.309,5.919,10,36.471,53.529,12.353,8.235,28.824,47.059,77,11,19,33,14,ComercTTEHosteleria,"1,552","2,038",15949.4772,MuyBaja,-4.66,1.25,340
Cedillo,10,Extremadura,490,406,16.995,0,70.623,27.596,0,1,0,4.082,15.102,54.081,30.817,48.163,2.25,85.51,2.245,10.612,4.348,30.435,65.217,26.087,8.696,8.696,56.522,17,0,0,0,0,Otro,436,490,6155.8729,MuyBaja,0,1.12,40
Cerezo,10,Extremadura,186,173,19.653,0,40.287,58.274,0,0,1,2.688,6.99,53.765,39.248,52.151,1.08,83.871,0,15.054,9.091,36.364,54.545,9.091,9.091,0,81.818,7,0,0,0,0,Otro,189,193,1813.5619,MuyBaja,-3.63,0.98,105
Cilleros,10,Extremadura,1757,1476,26.016,0,46.428,50.641,0.458,0,1,3.586,15.367,53.727,30.905,49.402,-8.39,87.308,0.285,8.537,13.139,48.175,38.686,10.219,3.65,18.248,58.394,80,,,42,19,ComercTTEHosteleria,"1,376","1,859",20873.3,MuyBaja,-5.49,1.28,268
Collado de la Vera,10,Extremadura,181,206,24.272,0,63.462,33.333,1.923,1,0,1.657,11.048,72.927,16.02,44.751,2.76,80.11,1.657,14.917,16.667,44.444,38.889,11.111,11.111,5.556,55.556,8,0,0,0,0,Otro,225,198,4494.0169,MuyBaja,-8.59,0.8,149
Conquista de la Sierra,10,Extremadura,191,160,23.75,0,52.459,45.901,1.639,1,0,3.665,17.278,57.068,25.656,42.408,3.67,75.916,1.047,18.848,0,23.81,76.19,4.762,9.524,19.048,66.667,8,0,0,0,0,Otro,233,212,4176.9625,MuyBaja,-9.91,0.82,29
Coria,10,Extremadura,12930,10422,31.75,1,45.283,51.314,1.139,0,1,3.751,19.049,62.821,18.129,50.866,-7.61,83.968,1.493,11.771,9.698,45.215,45.087,9.249,5.331,19.589,59.152,889,56,124,391,318,ComercTTEHosteleria,"7,843","12,962",10346.4254,Baja,-0.25,1.65,349
Cuacos de Yuste,10,Extremadura,865,735,22.449,0,47.193,48.948,1.228,0,1,2.775,11.676,63.006,25.318,48.671,3.7,85.087,1.272,10.867,15.854,37.805,46.341,9.756,13.415,8.537,65.854,65,0,0,0,0,Otro,755,908,5263.4789,MuyBaja,-4.74,1.15,185
Deleitosa,10,Extremadura,775,718,23.955,0,41.942,56.41,0.733,0,1,2.194,10.453,52.515,37.031,49.419,1.68,87.871,0.516,8.516,5.357,50,44.643,7.143,8.929,5.357,73.214,67,0,0,0,0,Otro,933,834,14421.3418,MuyBaja,-7.07,0.83,119
Descargamaría,10,Extremadura,147,139,30.935,1,44.792,52.083,1.042,0,1,0,4.761,54.422,40.816,43.537,0,76.871,0.68,21.088,0,25,75,12.5,12.5,0,75,5,0,0,0,0,Otro,275,195,5291.6048,MuyBaja,-24.62,0.53,9
El Gordo,10,Extremadura,394,323,27.245,0,35.745,62.978,0.426,0,1,4.569,13.199,60.152,26.649,49.492,2.79,65.736,1.269,29.188,13.725,41.176,45.098,0,25.49,11.765,54.902,14,0,0,0,0,Otro,359,373,7704.106,MuyBaja,5.63,1.1,20
El Torno,10,Extremadura,956,756,18.915,0,46.656,49.918,0.326,0,1,3.033,11.192,58.578,30.23,47.594,8.58,83.682,0.209,7.322,5,42.5,52.5,20,2.5,12.5,65,41,0,0,0,0,Otro,762,983,2226.0028,MuyBaja,-2.75,1.25,185
Eljas,10,Extremadura,941,859,28.172,0,64.992,33.387,0.486,1,0,1.913,10.945,53.028,36.026,49.203,0.32,90.542,0.106,4.57,2.857,32.857,64.286,10,4.286,40,44.286,38,0,0,0,0,Otro,927,"1,013",3254.7223,MuyBaja,-7.11,1.02,145
Escurial,10,Extremadura,755,747,29.853,0,51.527,45.611,0.573,1,0,1.854,13.245,58.544,28.211,47.152,0.4,91.656,3.311,7.417,13.684,37.895,48.421,15.789,11.579,11.579,54.737,29,0,0,0,0,Otro,597,833,10071.1349,MuyBaja,-9.36,1.26,114
Fresnedoso de Ibor,10,Extremadura,293,253,33.992,1,58.084,39.521,1.198,1,0,1.365,10.58,47.099,42.321,46.758,2.73,84.642,1.365,8.532,5.128,30.769,64.103,10.256,12.821,15.385,61.538,14,0,0,0,0,Otro,369,331,5466.1311,MuyBaja,-11.48,0.79,114
Galisteo,10,Extremadura,992,832,33.173,1,50.18,46.763,0.18,1,0,2.419,17.54,59.072,23.386,51.109,4.94,84.476,1.008,10.181,14.706,41.176,44.118,10.784,8.824,16.667,56.863,54,0,0,0,0,Otro,796,"1,095",6547.35,MuyBaja,-9.41,1.25,216
Garciaz,10,Extremadura,804,677,29.247,0,45.094,51.984,1.253,0,1,1.99,11.443,54.354,34.203,47.512,1.49,89.552,0.871,8.085,5.682,29.545,64.773,13.636,3.409,14.773,60.227,34,0,0,0,0,Otro,842,829,15028.2649,MuyBaja,-3.02,0.95,125
Garganta la Olla,10,Extremadura,1010,894,25.951,0,38.066,58.006,0.755,0,1,3.366,14.157,59.211,26.633,47.723,1.68,87.723,0.594,9.703,11.25,45,43.75,26.25,12.5,12.5,43.75,51,,,29,12,ComercTTEHosteleria,785,"1,038",4806.2498,MuyBaja,-2.7,1.29,113
Gargantilla,10,Extremadura,409,366,29.781,0,51.751,47.082,0,1,0,0.978,10.758,52.076,37.162,49.144,0.49,90.709,0,8.313,10.526,31.579,57.895,15.789,7.895,13.158,57.895,19,0,0,0,0,Otro,327,432,2087.106,MuyBaja,-5.32,1.25,90
Gargüera,10,Extremadura,126,182,21.978,0,39.436,54.226,0,0,1,0.794,0.794,39.683,59.523,44.444,-0.2,94.444,0.794,5.556,8.333,25,66.667,8.333,0,25,58.333,7,0,0,0,0,Otro,214,127,5160.0586,MuyBaja,-0.79,0.59,55
Garrovillas de Alconétar,10,Extremadura,2205,1868,22.323,0,55.342,40.73,0.482,1,0,3.673,14.104,55.33,30.567,51.429,0.82,91.02,0.635,7.846,11.502,37.061,51.438,1.917,6.07,13.099,72.204,85,7,16,43,19,ComercTTEHosteleria,"1,915","2,247",20685.2924,MuyBaja,-1.87,1.15,199
Garvín,10,Extremadura,92,90,34.444,1,44.068,50.848,1.695,0,1,3.261,8.696,64.132,27.175,43.478,5.44,67.391,0,27.174,18.75,31.25,50,12.5,6.25,12.5,68.75,10,0,0,0,0,Otro,187,97,3826.7429,MuyBaja,-5.15,0.49,33
Gata,10,Extremadura,1593,1345,33.978,1,52.59,44.595,0.901,1,0,2.888,13.246,57.628,29.127,48.525,3.52,85.687,0.628,9.542,8.462,37.692,53.846,11.538,9.231,11.538,63.077,73,6,11,38,18,ComercTTEHosteleria,"1,215","1,654",9417.6258,MuyBaja,-3.69,1.31,174
Guadalupe,10,Extremadura,2013,1687,27.801,0,47.044,51.396,0.575,0,1,3.378,15.798,55.292,28.912,50.919,2.58,85.743,2.385,9.588,11.798,45.506,42.697,11.236,3.933,10.674,69.663,122,7,20,58,37,ComercTTEHosteleria,"1,884","2,090",6819.471,MuyBaja,-3.68,1.07,311
Guijo de Coria,10,Extremadura,216,204,35.784,1,40.458,56.488,0,0,1,1.852,8.334,52.315,39.352,47.222,3.7,90.278,0,6.019,13.636,36.364,50,13.636,4.545,9.091,68.182,9,0,0,0,0,Otro,526,234,7474.6436,MuyBaja,-7.69,0.41,90
Guijo de Galisteo,10,Extremadura,1576,1359,35.099,1,61.451,35.487,1.134,1,0,2.919,17.703,61.993,20.304,49.619,0.38,94.924,0.444,4.442,27.143,35.714,37.143,15.714,3.571,17.143,55.714,67,,9,46,,ComercTTEHosteleria,840,"1,676",6227.765,MuyBaja,-5.97,1.88,191
Guijo de Granadilla,10,Extremadura,581,513,29.435,0,48.619,48.343,0,1,0,2.582,8.09,50.258,41.652,46.988,1.03,86.059,0.688,11.015,9.091,43.636,47.273,10.909,3.636,25.455,60,33,0,0,0,0,Otro,564,620,7502.83,MuyBaja,-6.29,1.03,125
Guijo de Santa Bárbara,10,Extremadura,431,371,22.642,0,40.418,57.84,0.697,0,1,2.552,13.456,56.613,29.93,46.868,-5.79,89.327,0.464,9.513,5.714,51.429,42.857,0,8.571,22.857,68.571,23,0,0,0,0,Otro,472,416,3454.0471,MuyBaja,3.61,0.91,38
