,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_log,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_exp,aleatorio2_cuarta,Beneficio
35,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,2.0,R,Desc,1.0,0.0,0.38869828770032977,0.8718801117559486,20.84132789259809,4.251941895821869,8.776883001091859,9.44095700642585,1.3347250970579152,2.1348308922888,0.2836457350646798,1.396536701341088,2.1575230219663686,0.45969804490010674,3.807946742024393,81.04616595083435,363
36,-0.88,0.26,6.8,0.298,0.96461,3.06,0.32,5.6,1,1.39,R,Desc,1.0,7.6923076923076925,0.5952928238782882,0.2562370483184989,2.3291577845994014,19.629173032280775,9.719176116573028,15.020720868380263,1.183799944221755,1.6905257822016475,1.0473702632020228,1.258126779047466,0.9649150833430776,0.06995233608311684,7.752859259858562,0.6042012264900433,513
37,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,3.66,MB,***,2.0,0.0,0.7273313675046519,0.3177155943604951,8.536818271917417,6.727934051772959,10.866128216679968,9.597645591958875,1.344712385755851,2.0740798114401793,1.5140409093543683,0.8736289338588689,1.6712221139600012,3.2520407495442663,12.212467192249221,1.4283936779552346,837
38,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.46,B,*,1.0,0.0,0.5422619744939805,0.3141695532279727,14.259044023026764,14.626795175831194,4.630767542641509,12.080648965423396,1.3875517371009058,1.802482093906701,1.113325991464476,1.7632747999977538,1.9297524380738358,0.09730579277142398,6.459565658779028,1.365672022311203,338
39,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,1.95,M,***,2.0,0.0,0.12064489222133978,0.4142244136230402,8.460769414774614,20.81865019706756,14.989217398902797,13.07099081222382,1.1707099502072256,2.0077525385330417,0.8232881065440429,1.7471720168035931,1.6712221139600012,0.41488392664574275,1.5137876401847346,4.127757038539208,457
40,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,2.09,M,Desc,1.0,0.0,0.9880015118066848,0.8298385516104452,2.532471201327324,8.715738879926072,8.918724511070316,6.224678752934485,1.3206796084552703,1.7730355784127236,0.9888761701278452,1.7145127961874087,0.9649150833430776,0.5461539446636021,29.949839401761135,66.50796683957243,410
41,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.98,B,*,1.0,0.0,0.9843600485962536,0.3719724302049766,10.464066344682761,21.821923041342732,12.60045459516313,20.087496292770023,1.0869336001981238,1.823224168282454,1.113325991464476,2.0383584950666607,1.3645593560288818,0.44149666012666394,29.57685947757289,2.6840176189018248,585
42,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,2.02,M,Desc,3.0,0.0,0.24588226577081873,0.251616359888304,8.922166332698326,20.81865019706756,10.925154625801316,9.538736250174308,1.082072317762895,1.6860713171445327,1.1239077550426675,1.7145127961874087,1.6712221139600012,0.47826707963581244,2.329386777428328,0.5617742522472551,407
43,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,1.13,M,***,2.0,0.0,0.9986209129604317,0.36753917632777733,13.67413574848392,35.769903072841295,7.56786188726392,1.4703996651089262,1.311221055016116,2.0114947650383943,0.5894353515120062,1.7712712955134542,0.01,0.007784241122098817,31.064616012851022,2.558311805338991,595
44,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,4.02,R,**,3.0,0.0,0.8790119389292239,0.4837800028861229,8.234664353372976,76.85552692430467,16.47835420236286,9.30491234955222,1.3879568346856983,2.314016514546336,1.0881908542844756,1.8871570502615278,1.6712221139600012,4.191802862633934,20.582655451956263,7.680680914842193,714
45,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,2.03,M,**,1.0,7.6923076923076925,0.9198843712979806,0.1507788130294615,4.087677549528291,23.695387234266697,16.165298339874276,9.112275558109134,1.2364293170809888,2.1870338235920075,1.6198741619936472,1.7871569506664755,1.3645593560288818,0.4876894657395136,23.69126883238165,0.07239130811401259,472
46,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,4.09,M,Desc,2.0,0.0,0.04515022310121908,0.4903030745925324,4.520498544369123,113.32059117115271,9.178710183582698,21.74198820448359,1.136414256256641,1.1570406679967187,1.5187801506903151,1.8262666498431863,1.6712221139600012,4.388367214453734,1.1674344581384066,8.103440495000473,163
47,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,1.8,M,***,2.0,0.0,0.5175359131082855,0.4946439260373354,20.250127570785292,99.56291173437498,11.463587182676278,9.676473475796367,1.4550464452933416,1.1373743033959038,1.472823879455662,1.6125713454780422,1.3645593560288818,0.2942284454675089,5.932645020886191,8.394282796671385,264
48,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,2.75,R,**,1.0,0.0,0.7552696730807305,0.9326428022432094,13.054307841868711,26.34236887160916,9.626483607372048,7.1093219996394135,1.1222003170369286,1.9584529906798824,1.2855442557326744,1.7950470601959958,1.6712221139600012,1.407647290412729,13.444953478464441,106.11448347953583,951
49,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.14,M,Desc,1.0,0.0,0.8287771825890831,0.5122767829312721,16.244590987024964,18.07720207484877,17.685319213459312,9.538736250174308,1.4107284076459026,1.7038193042871266,1.7271538944010443,1.8029026402779156,1.6712221139600012,0.00902641556545107,17.314971929936945,9.656926550403076,397
50,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,1.56,R,**,2.0,0.0,0.3167604576113131,0.7020030512668827,8.536818271917417,52.74138015267901,10.554021000050062,9.755623753681181,1.2658258324394942,1.6590933921125561,0.7392919789070974,1.6213112983815463,1.6712221139600012,0.14419472116709198,2.972859478307695,34.05901108307657,532
51,0.22,1.87,59.8,-0.251,1.03646,4.23,0.42,8.7,2,1.0,B,**,3.0,7.6923076923076925,0.40546233870677273,0.8952313819016215,8.76700635337258,130.5059122506305,22.063232393947665,4.550051402767214,1.4795949700853286,2.1488756766817767,1.0845479859349119,1.5681410760014236,1.3645593560288818,1e-08,4.034093851665056,90.08443208381499,747
52,-0.73,1.41,4.0,0.595,0.99787,3.47,0.5,12.0,5,1.0,B,**,1.0,16.666666666666664,0.9139393419963566,0.44356897862391176,2.9646169101177,75.95650819244048,9.205818434627991,23.216599308885055,1.3450765376688714,1.8640160154138072,1.113325991464476,1.8416779958328868,2.1575230219663686,1e-08,23.211490469173643,5.427913465139237,923
53,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,1.3,M,**,2.0,0.0,0.057115554478233244,0.9093917315854934,9.316020685257413,22.605981020997355,8.706388609052723,0.7510391260490006,1.461741594382662,1.7857149726902994,1.0624076168959717,2.2680707053591034,0.9649150833430776,0.041401305376025294,1.2165097479863485,95.92115471158289,574
54,0.38,0.26,40.4,0.035,0.97228,3.18,0.47,13.6,2,1.27,M,Desc,2.0,7.6923076923076925,0.4592664050626972,0.09820436542518896,10.046394375144779,19.629173032280775,16.965841096755245,9.24690974102574,1.2268947247526532,1.7430916859937107,1.1026310555354846,1.9606125451959422,1.3645593560288818,0.03353871997051108,4.854675565310312,0.013015852646092516,770
55,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,3.95,MM,**,1.0,0.0,0.5763085315577474,0.16704792844017746,18.527564356015972,66.73501296329634,15.701343869466882,9.169855024448506,1.324762521198648,2.0374979082967934,0.3156460943893929,1.2239652961370986,1.3645593560288818,3.999742222851857,7.262538554748505,0.10908319727691697,353
56,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,B,Desc,1.0,0.0,0.6330562004903048,0.6375985579751174,28.043921351186437,57.94719174325176,3.102862238282601,4.088451581737817,1.3678293854567307,1.4355166071369263,1.1950014462819223,2.2176638312615835,1.9297524380738358,1e-08,8.828808557868312,23.17662108821314,690
57,0.52,0.36,1.5,0.07,0.98976,4.31,1.29,18.3,1,1.04,R,***,1.0,7.6923076923076925,0.29112422903203583,0.771608137136883,11.237311745132136,22.080206604480747,8.759232755397694,9.934890632157522,1.3110027038809833,2.176693396912505,1.360289690825361,2.2742930124570435,0.9649150833430776,0.000740733207385903,2.7218182038185206,49.71378404196738,878
58,0.25,0.28,7.7,0.871,1.045,1.85,2.01,9.4,2,3.49,R,***,3.0,7.6923076923076925,0.8540079810651153,0.5146678523362901,9.00025669986789,20.096583377782547,9.887141835878785,32.426282874100984,1.504888749795647,1.0187857633371464,1.5421451939215833,1.6300043890316513,1.3645593560288818,2.8496707731406676,18.885614181522744,9.83851066065712,465
59,-0.93,0.53,4.9,-0.024,1.00314,2.94,0.35,9.4,2,1.62,M,Desc,3.0,7.6923076923076925,0.708495147711993,0.9590722533997271,2.134350659649656,26.96963399965941,9.369307342957754,8.143045442872566,1.365902318445276,1.6362720479176398,1.0586694242320531,1.6300043890316513,1.3645593560288818,0.17673987775164726,11.445934764259643,118.66474901685488,241
60,0.24,1.27,10.3,0.18,0.96793,3.04,-0.82,8.1,4,3.49,R,Desc,3.0,16.666666666666664,0.8343990829487449,0.6396483812092749,8.922166332698326,64.42039899508917,10.380459267024305,12.257809572961234,1.2030239322642529,1.6816050525335928,0.48208311909597995,1.5131036125216777,1.9297524380738358,2.8496707731406676,17.653228542357663,23.476133366687,683
61,2.73,1.59,4.9,0.028,0.9922,3.68,0.49,16.8,1,1.99,M,****,1.0,0.0,0.8875813069487442,0.6744148447638018,38.87227835563933,93.87436762384453,9.369307342957754,9.112275558109134,1.3215333397426032,1.9468988970488428,1.1097737067514437,2.1790936135166508,0.9649150833430776,0.4505513962681026,21.198687246761253,29.0120459056545,708
62,-0.74,0.15,1.1,0.414,0.97401,2.77,0.4,11.4,1,2.88,R,**,2.0,0.0,0.961570957528418,0.638984388135276,2.91987120671859,17.246094481452428,8.688809423850241,18.010273909431213,1.2360125375220725,1.556178119737494,1.077222194412335,1.7950470601959958,0.9649150833430776,1.6245324375718424,27.345889311897594,23.378797302465472,720
63,0.38,1.51,73.7,-0.271,1.01893,4.02,1.98,12.1,3,1.92,R,***,3.0,0.0,0.09368398856391447,0.3007038773443079,10.046394375144779,85.44096030362157,26.126634105486538,4.283257632271078,1.4231830136915251,2.0740798114401793,1.5351928238543917,1.849335508321254,1.6712221139600012,0.3890984055799129,1.379652974690704,1.1461225821064231,678
64,0.63,0.32,6.4,0.034,0.9924,3.23,-0.25,11.8,3,4.54,R,Desc,1.0,0.0,0.17161948295095386,0.07809802641243746,12.219817140616463,21.065059055830158,9.644986578966403,9.227615837439496,1.3223854196577776,1.7645320327881149,0.8041496146148147,1.8262666498431863,1.6712221139600012,5.75953280440005,1.8040572082314572,0.005202741406486133,766
65,0.13,1.27,-15.1,0.04,0.9955,4.23,0.41,9.0,3,1.91,M,**,2.0,0.0,0.6663729458657381,0.5388587340067187,8.085628904127518,64.42039899508917,6.075534338969108,9.343681503376326,1.335386896231205,2.1488756766817767,1.0808917985613016,1.5949477672485952,1.6712221139600012,0.3806870568724344,9.90139703026735,11.823066302859031,382
66,0.34,-0.95,-21.0,0.028,0.98958,3.2,1.77,13.2,3,4.52,M,Desc,1.0,0.0,0.6458604734257516,0.084020429419838,9.71838132959468,4.726920929083314,5.239605724467462,9.112275558109134,1.3102157350719503,1.7516993159108047,1.4851238772473976,1.9315655889377772,1.6712221139600012,5.694639874419219,9.226543769754986,0.006971193133936546,500
67,0.53,0.38,-40.3,-0.223,0.99062,2.88,0.6,18.3,4,2.54,B,***,1.0,7.6923076923076925,0.07868583221041192,0.28330091408185765,11.324929159093257,22.605981020997355,2.9371396345186067,4.937103231449236,1.3147432426085062,1.6084590800050322,1.1481715979149993,2.2742930124570435,1.9297524380738358,1.0901071195184313,1.3102494670869524,0.9029116392995623,912
68,1.21,0.34,7.8,-0.399,0.97462,3.21,-0.75,17.5,3,1.19,M,*,2.0,0.0,0.994884667888611,0.8708816384042993,18.081143728913652,21.566660754236345,9.905893519194029,2.766634777109142,1.2391798937863447,1.7559873083691044,0.5276908771785495,2.2240271694582776,1.6712221139600012,0.016615975140698215,30.667748364994928,80.67552248594592,523
69,-0.72,0.15,4.8,0.012,0.99609,2.95,0.39,13.7,3,5.53,R,****,3.0,16.666666666666664,0.723993811080597,0.9815655243434364,3.009702865187936,17.246094481452428,9.351070848207208,8.808247814415358,1.3378188158018045,1.6408617091600315,1.0735390746566091,1.967807290966903,1.6712221139600012,9.431249335034401,12.072999469568577,130.19554680767695,756
70,0.19,0.29,-51.1,0.042,0.99304,3.99,-0.75,10.3,2,1.88,B,***,3.0,0.0,0.17347417393804687,0.24543339041870127,8.536818271917417,20.334445877429346,1.9374673221881151,9.382531255712264,1.3251010644223085,2.063173347746319,0.5276908771785495,1.706250317593399,1.3645593560288818,0.3560044856933934,1.8156088044887584,0.5085460971753895,572
71,1.53,0.32,1.1,0.115,0.99096,2.25,-0.81,8.9,2,2.25,R,Desc,2.0,0.0,0.42269365019594374,0.6514296058128419,21.80494149439717,21.065059055830158,8.688809423850241,10.855706822507575,1.3162132937970374,1.280453741147307,0.48872725287699254,1.586062545503325,1.3645593560288818,0.7182358201340721,4.2805491249911345,25.254240206432204,719
72,0.16,0.32,-44.9,0.04,1.0458,3.27,0.96,10.0,3,2.43,M,**,2.0,0.0,0.5448063515290937,0.6317758145557446,8.309692455502395,21.065059055830158,2.486020213981925,9.343681503376326,1.5071938181656261,1.781498534913606,1.2644279223831605,1.6812192600250566,1.6712221139600012,0.9399531521514612,6.516375158220846,22.3414456957196,333
73,-0.56,0.42,2.3,-0.139,0.9972,4.15,-0.65,10.9,3,2.11,M,**,1.0,0.0,0.35071551922461675,0.5707813356684079,3.7773523735850025,23.695387234266697,8.900932144392785,6.19304256740733,1.3423585021410047,2.120693095076849,0.5894353515120062,1.7552418745871827,1.6712221139600012,0.5663774042294909,3.3413561470104893,14.884027050640388,472
74,-2.05,-0.24,1.5,-0.415,0.99238,4.05,-0.01,14.5,2,1.77,M,Desc,1.0,0.0,0.42841513556592536,0.7554471476297826,1e-08,10.899243527166563,8.759232755397694,2.6002692916209273,1.3223002857657236,2.084929223162433,0.9138438828392865,2.024444958600959,1.3645593560288818,0.2725789864771365,4.365667690769032,45.67757468570349,332
75,0.91,-2.16,88.1,0.036,1.04541,3.47,-0.66,9.1,2,2.33,M,Desc,2.0,0.0,0.3867944711312975,0.039986324141381036,14.906517377921043,1.1382945900502708,30.698183490848034,9.266223794239941,1.5060714194543572,1.8640160154138072,0.5834296615724451,1.6037837641820891,1.3645593560288818,0.8131003569636162,3.7830795094446543,0.00035647228582013165,308
