,ID,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,Region,PrecioBotella,Etiqueta,Clasificacion,prop_missings,Beneficio,Compra
31,67,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,2.0,1.0,B,**,0.0,604,1
32,70,0.28,0.35,2.1,1.027,0.95511,3.26,2.14,9.2,2,3.0,1.32,M,?,0.0,511,1
33,72,0.44,0.22,4.3,-0.923,1.02618,3.26,0.53,101.0,2,1.0,1.31,M,*,0.0,591,1
34,73,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,101.0,2,1.0,1.0,m,*,0.0,285,1
35,77,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,1.0,3.32,M,*,0.0,436,1
36,78,-0.68,2.9,-11.4,0.056,0.99755,4.12,-0.34,9.7,1,3.0,1.86,MM,?,0.0,0,0
37,80,-0.06,-1.57,-41.4,0.037,0.99977,2.51,0.49,16.7,3,3.0,5.42,R,***,7.6923076923076925,623,1
38,81,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.0,1.13,m,*,0.0,334,1
39,82,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.0,3.1,MM,*,0.0,186,1
40,85,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,3.0,2.17,B,****,0.0,1155,1
41,86,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,2.0,1.49,M,***,0.0,361,1
42,89,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,2.0,1.35,B,***,0.0,893,1
43,90,2.73,0.33,-16.8,0.065,0.99082,4.14,0.58,16.9,2,3.0,1.32,R,***,7.6923076923076925,517,1
44,95,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.0,2.65,R,*,0.0,356,1
45,100,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,1.0,2.0,R,?,0.0,363,1
46,103,0.04,-0.22,-9.7,0.628,0.99413,3.04,-0.53,11.0,4,3.0,4.63,M,?,7.6923076923076925,0,0
47,104,-0.88,0.26,6.8,0.298,0.96461,3.2,0.32,5.6,1,1.0,1.39,R,?,7.6923076923076925,513,1
48,105,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,2.0,3.66,MB,***,0.0,837,1
49,112,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.0,1.46,B,*,0.0,338,1
50,114,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,2.0,1.95,M,***,0.0,457,1
51,115,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,1.0,2.09,m,?,0.0,410,1
52,117,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.0,1.98,B,*,0.0,585,1
53,118,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,3.0,2.02,m,?,0.0,407,1
54,122,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,2.0,1.13,M,***,0.0,595,1
55,127,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,3.0,4.02,R,**,0.0,714,1
56,130,-0.2,1.73,2.0,0.124,0.99516,2.69,0.42,16.0,5,3.0,2.89,R,?,7.6923076923076925,0,0
57,133,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,3.0,2.03,M,**,7.6923076923076925,472,1
58,134,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,2.0,4.09,M,?,0.0,163,1
59,136,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,2.0,1.8,M,***,0.0,264,1
60,139,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,1.0,2.75,R,**,0.0,951,1
61,140,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.0,1.14,M,?,0.0,397,1
62,143,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,2.0,1.56,r,**,0.0,532,1
63,144,1.7,-1.03,3.4,0.048,0.9944,4.25,0.41,9.4,3,2.0,1.0,R,**,0.0,0,0
64,145,0.47,-0.86,-58.1,0.174,0.99514,2.97,0.61,10.9,3,2.0,2.75,M,?,7.6923076923076925,0,0
65,146,0.22,1.22,-50.4,0.26,1.03038,2.62,2.1,11.0,1,2.0,3.01,M,?,0.0,0,0
66,149,0.39,0.1,1.7,0.075,0.99581,3.09,0.43,9.7,4,3.0,5.21,m,?,0.0,0,0
67,150,0.22,1.87,59.8,0.054,1.03646,4.23,0.42,8.7,2,3.0,1.0,b,**,7.6923076923076925,747,1
68,158,-0.73,1.41,4.0,0.595,0.99787,3.47,2.37,101.0,5,1.0,1.0,B,**,7.6923076923076925,923,1
69,163,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,2.0,1.3,M,**,0.0,574,1
70,164,0.38,0.26,99999.0,0.035,0.97228,3.18,0.47,13.6,2,2.0,1.27,M,?,0.0,770,1
71,166,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,1.0,3.95,MM,**,0.0,353,1
72,170,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,1.0,B,?,0.0,690,1
73,171,0.52,0.36,1.5,0.038,0.98976,4.31,1.29,18.3,1,1.0,1.04,R,***,7.6923076923076925,878,1
74,172,0.25,0.28,7.7,0.871,1.045,1.85,0.56,9.4,2,3.0,3.49,R,***,7.6923076923076925,465,1
75,173,1.19,-0.09,2.2,0.219,0.99486,3.31,0.75,12.6,5,3.0,2.21,M,?,0.0,0,0
76,175,-0.93,0.53,99999.0,-0.024,1.00314,2.94,0.35,9.4,2,3.0,1.62,m,?,0.0,241,1
77,176,0.24,1.27,10.3,0.18,0.96793,3.42,-2.26,8.1,4,3.0,3.49,R,?,16.666666666666664,683,1
78,177,2.73,1.59,4.9,0.028,0.9922,3.68,0.49,16.8,1,1.0,1.99,M,****,0.0,708,1
79,178,-0.74,0.15,1.1,0.414,0.97401,2.77,0.4,11.4,1,2.0,2.88,R,**,0.0,720,1
80,179,0.93,-0.62,1.9,0.08,1.02107,3.13,0.55,9.5,6,1.0,1.37,B,?,0.0,0,0
81,180,0.38,1.51,73.7,-0.271,1.01893,4.02,1.98,12.1,3,3.0,1.92,R,***,0.0,678,1
82,181,0.63,0.32,6.4,0.034,0.9924,3.23,-0.25,11.8,3,1.0,4.54,R,?,0.0,766,1
83,182,0.13,1.27,-15.1,0.04,0.9955,4.23,0.41,9.0,3,2.0,1.91,M,**,0.0,382,1
84,183,0.065,0.1,13.0,0.228,0.99741,3.1,0.5,3.2,3,3.0,1.54,B,*,0.0,0,0
85,185,0.34,-0.95,-21.0,0.028,0.98958,3.2,1.77,13.2,3,1.0,4.52,M,?,0.0,500,1
86,187,0.53,0.38,-40.3,0.036,0.99062,2.88,0.6,18.3,4,1.0,2.54,B,***,7.6923076923076925,912,1
87,188,1.21,0.34,7.8,-0.399,0.97462,3.21,-0.75,17.5,3,2.0,1.19,M,*,0.0,523,1
88,189,-0.72,0.15,99999.0,0.012,0.99609,2.95,1.68,13.7,3,3.0,5.53,R,****,7.6923076923076925,756,1
89,190,0.19,0.29,-51.1,0.042,0.99304,3.99,-0.75,10.3,2,3.0,1.88,B,***,0.0,572,1
90,194,1.53,0.32,1.1,0.115,0.99096,2.25,-0.81,8.9,2,2.0,2.25,R,?,0.0,719,1
91,197,0.16,0.32,-44.9,0.04,1.0458,3.27,0.96,10.0,3,2.0,2.43,M,**,0.0,333,1
92,198,-0.56,0.42,2.3,-0.139,0.9972,4.15,-0.65,10.9,3,1.0,2.11,M,**,0.0,472,1
93,201,-2.05,-0.24,1.5,-0.415,0.99238,4.05,-0.01,14.5,2,1.0,1.77,M,?,0.0,332,1
94,202,0.91,-2.16,88.1,0.036,1.04541,3.47,-0.66,9.1,2,2.0,2.33,M,?,0.0,308,1
95,204,0.27,1.26,10.7,-0.432,0.99669,3.13,0.48,16.8,5,2.0,2.67,M,**,0.0,276,1
96,205,-1.22,0.26,11.0,0.03,0.99402,1.9,0.36,11.2,2,1.0,2.07,b,****,0.0,688,1
97,206,0.155,1.43,-41.0,0.025,0.9934,3.18,0.61,3.9,3,1.0,2.29,R,***,0.0,949,1
98,209,0.21,-0.15,99999.0,0.034,0.9917,3.3,0.37,11.2,3,2.0,2.92,B,****,7.6923076923076925,1123,1
99,210,0.01,1.42,8.4,-0.251,1.03166,3.09,-1.38,8.8,3,3.0,4.5,R,?,0.0,381,1
100,211,0.55,-0.28,99999.0,0.149,0.9959,2.14,2.25,9.7,3,3.0,2.36,R,?,7.6923076923076925,0,0
101,214,-0.63,-0.95,13.4,-0.336,0.9989,3.22,0.53,9.0,3,3.0,1.0,B,*,0.0,471,1
102,215,1.695,0.11,4.1,0.481,0.96126,2.66,0.38,12.5,4,1.0,1.0,R,?,0.0,0,0
103,216,0.22,-0.6,137.6,0.316,0.99834,3.05,1.79,9.1,2,1.0,6.18,R,*,0.0,0,0
104,218,-0.86,0.25,-36.9,0.045,1.04206,4.26,0.43,15.0,2,2.0,1.04,R,*,0.0,0,0
105,220,0.99,0.15,1.2,0.053,1.03601,3.86,0.43,9.2,3,1.0,1.15,M,*,0.0,269,1
106,221,0.24,0.46,2.2,0.033,1.02888,3.23,0.25,5.4,2,2.0,1.36,m,**,7.6923076923076925,0,0
107,224,0.625,0.16,2.0,-0.118,0.9962,3.14,0.23,11.0,4,2.0,2.15,MB,?,7.6923076923076925,0,0
108,225,0.42,0.26,-32.9,0.088,1.0739,2.81,0.55,9.2,3,3.0,3.01,MM,?,0.0,0,0
109,227,0.655,-1.19,48.8,-0.236,0.96197,2.71,0.88,5.3,2,1.0,2.59,B,***,0.0,419,1
110,233,0.35,0.53,2.6,0.07,0.9972,3.15,-0.16,11.0,7,3.0,2.18,B,?,0.0,0,0
111,235,0.835,0.16,141.15,0.051,0.99564,3.67,0.4,10.8,1,2.0,3.78,R,***,7.6923076923076925,667,1
112,238,0.32,-0.59,8.3,0.036,1.00919,4.23,0.52,12.6,2,1.0,5.14,M,?,0.0,371,1
113,239,-1.04,-0.38,5.9,0.448,1.0167,3.12,0.66,15.7,2,1.0,5.22,R,*,0.0,564,1
114,245,0.42,1.48,-51.4,-0.339,0.99013,3.14,0.88,18.5,2,3.0,1.35,B,?,0.0,681,1
115,250,0.86,0.36,39.6,-0.29,0.9982,3.23,0.51,9.3,4,1.0,1.0,R,?,0.0,0,0
116,253,-0.2,0.56,1.9,-0.278,1.0739,4.83,0.58,8.7,7,3.0,2.41,B,?,0.0,0,0
117,254,0.23,1.94,3.2,0.775,1.02365,3.02,1.29,13.3,5,3.0,4.07,R,**,0.0,764,1
118,258,0.31,-0.49,53.3,0.036,1.03461,2.12,-0.67,6.1,3,3.0,2.26,b,***,0.0,990,1
119,261,-0.48,-0.88,14.8,-0.313,0.97751,3.12,0.69,14.5,3,2.0,3.11,M,**,0.0,594,1
120,262,0.17,0.27,1.4,0.032,0.99254,3.14,0.67,101.0,2,2.0,3.4,R,***,0.0,446,1
121,263,0.18,0.28,41.5,0.041,0.99207,3.13,0.45,9.3,2,3.0,5.86,R,**,0.0,540,1
122,265,-0.35,0.65,17.6,-0.124,0.9923,3.91,0.47,3.0,2,1.0,1.87,B,**,0.0,612,1
123,267,0.18,0.35,1.5,0.049,1.03452,3.7,0.04,10.2,2,2.0,2.02,B,**,0.0,855,1
124,270,0.33,-0.29,99999.0,-0.312,0.97143,3.05,0.96,9.2,3,1.0,2.61,B,?,7.6923076923076925,0,0
125,271,0.29,-0.3,1.4,0.666,0.98378,2.07,-1.24,9.0,3,3.0,1.96,R,***,0.0,420,1
126,272,1.18,0.3,13.0,-0.633,1.0739,3.72,-0.46,7.6,3,2.0,1.0,R,*,7.6923076923076925,505,1
127,274,-0.4,1.24,-33.3,-0.522,0.98962,3.19,0.75,12.4,2,2.0,1.78,M,***,0.0,703,1
128,280,1.35,1.54,-11.7,-0.098,0.9891,3.03,-0.55,13.3,2,3.0,2.32,R,*,0.0,670,1
129,282,1.74,0.19,-33.6,-0.499,0.99364,3.34,0.72,10.1,2,1.0,1.0,R,***,7.6923076923076925,533,1
130,287,2.68,2.06,1.1,0.564,0.99445,3.15,1.84,13.7,2,3.0,1.14,R,?,0.0,330,1
131,289,2.01,0.91,-7.7,0.645,1.0395,3.46,0.72,10.2,2,3.0,4.84,R,?,0.0,0,0
132,291,0.27,0.31,-24.6,-0.194,1.01824,4.17,0.66,14.2,2,3.0,1.16,R,?,0.0,704,1
133,293,0.3,0.3,23.9,0.041,0.91473,3.31,1.87,18.2,2,1.0,1.49,R,?,7.6923076923076925,0,0
134,296,0.22,0.21,-24.7,0.588,0.98675,3.1,0.55,17.4,3,1.0,1.55,r,?,0.0,0,0
135,298,0.33,-2.08,-56.0,0.04,0.9828,4.21,1.88,11.0,3,2.0,2.35,MM,*,0.0,0,0
136,305,0.25,1.83,-45.4,0.049,0.99154,3.17,0.48,13.4,3,2.0,1.19,M,**,0.0,574,1
137,306,0.48,1.06,1.8,0.034,0.991,3.68,-1.94,12.6,3,3.0,1.7,b,****,0.0,953,1
138,307,0.21,0.28,7.5,0.07,1.0739,2.87,1.03,9.4,2,3.0,2.8,M,?,0.0,275,1
139,309,0.18,1.16,10.3,-0.52,0.96348,2.77,2.03,10.6,2,3.0,5.15,B,?,0.0,0,0
140,310,1.64,1.97,75.6,-0.124,0.96292,2.94,0.44,9.1,3,3.0,1.39,M,**,0.0,245,1
141,311,-0.27,0.52,-12.1,-0.13,0.9969,3.25,2.3,7.6,5,3.0,1.39,M,**,0.0,277,1
142,312,-1.0,0.46,6.3,0.032,0.99214,2.21,1.52,5.5,2,3.0,1.76,B,****,0.0,984,1
143,314,0.18,0.36,64.8,0.034,0.99074,3.16,1.13,11.0,2,2.0,1.0,MM,?,7.6923076923076925,279,1
144,315,0.32,1.7,60.7,-0.551,0.99463,3.27,1.21,11.3,3,1.0,1.04,M,***,0.0,575,1
145,316,0.28,0.35,28.9,0.054,0.99178,4.2,0.66,10.7,3,3.0,2.05,R,**,7.6923076923076925,494,1
146,317,1.08,0.6,53.5,0.064,1.0439,3.68,-1.26,10.3,2,1.0,2.74,B,***,7.6923076923076925,447,1
147,321,-0.65,2.9,70.6,0.421,0.995,2.45,0.78,17.9,3,2.0,2.63,B,***,0.0,842,1
148,322,-0.82,1.11,12.5,0.035,0.98535,2.88,1.65,5.2,2,2.0,1.24,R,**,0.0,690,1
149,325,0.14,0.33,-44.7,0.104,0.99057,2.99,1.47,20.9,3,1.0,3.15,R,***,7.6923076923076925,741,1
150,326,0.33,0.62,99999.0,0.038,1.01853,3.23,0.43,13.4,3,2.0,1.0,B,***,0.0,1097,1
151,328,0.24,0.55,-46.2,-0.202,0.99931,2.9,-0.94,2.8,2,3.0,1.12,M,?,0.0,296,1
152,332,0.7,0.29,46.5,0.499,1.02159,3.68,0.46,10.3,1,2.0,2.83,r,***,0.0,437,1
153,334,0.68,-1.28,1.8,0.087,0.9944,4.11,0.52,10.0,2,3.0,1.41,MM,?,0.0,0,0
154,335,0.12,1.41,52.9,0.046,1.04495,2.36,-1.21,10.6,2,1.0,1.11,R,**,0.0,771,1
155,340,1.63,0.8,5.2,0.076,0.99138,2.95,0.11,6.6,4,3.0,1.87,M,**,0.0,399,1
156,341,-1.1,-0.32,-45.9,0.028,0.99484,3.13,1.77,10.9,2,3.0,1.4,M,**,0.0,999,1
157,345,0.03,0.13,1.2,0.452,0.99114,3.94,0.22,10.6,2,2.0,4.41,R,*,0.0,0,0
158,349,0.61,0.49,2.3,0.099,0.97962,3.38,0.99,15.1,4,2.0,1.98,R,?,7.6923076923076925,0,0
159,352,0.35,0.3,-70.0,0.299,0.96256,2.66,1.34,11.0,2,1.0,4.03,M,?,0.0,0,0
160,353,2.73,0.26,12.5,0.049,0.95985,2.81,1.01,3.9,1,2.0,3.01,R,**,0.0,457,1
161,354,0.34,-0.15,4.0,0.064,0.9984,2.68,1.36,10.2,5,2.0,3.01,r,?,0.0,495,1
162,355,0.26,0.29,56.7,-0.623,0.99479,3.8,0.56,13.7,2,1.0,1.07,R,***,0.0,560,1
163,356,0.57,0.1,-10.0,0.094,0.9972,4.33,3.38,9.2,3,3.0,2.2,M,*,0.0,133,1
164,359,0.575,0.81,2.6,0.587,0.98409,3.16,-2.32,9.0,7,1.0,1.49,B,?,0.0,0,0
165,362,0.55,-0.25,-21.5,0.029,1.01737,2.02,-2.02,9.8,2,2.0,2.96,M,***,0.0,739,1
166,363,0.33,1.3,2.6,-0.031,0.99782,3.3,-0.25,9.4,4,3.0,2.39,B,?,16.666666666666664,0,0
167,364,0.33,0.64,99999.0,0.056,0.9972,3.42,1.47,6.0,3,3.0,3.1,MM,?,0.0,150,1
168,365,0.48,0.3,1.5,0.037,0.97418,4.35,-1.22,15.5,2,3.0,2.9,R,**,0.0,593,1
169,369,-0.77,1.23,4.6,0.338,0.99018,3.04,0.43,13.1,4,2.0,1.5,M,*,0.0,373,1
170,370,-0.48,0.29,54.4,-0.216,1.00726,3.33,-2.32,11.0,2,1.0,3.73,M,?,0.0,519,1
171,371,0.23,0.42,-100.7,0.044,0.96061,3.22,0.48,11.8,2,3.0,1.09,R,*,0.0,780,1
172,375,-1.25,0.31,1.7,0.079,0.99716,3.43,1.12,2.8,3,1.0,2.0,b,?,0.0,0,0
173,377,0.41,0.3,3.2,0.094,0.9927,2.37,1.5,11.7,2,3.0,6.79,R,**,7.6923076923076925,885,1
174,381,1.93,0.24,1.7,0.077,1.04248,2.81,0.6,101.0,2,1.0,1.77,B,*,0.0,0,0
175,382,-0.29,-1.34,-10.2,0.024,0.99234,3.37,0.58,12.5,1,2.0,5.47,b,****,0.0,726,1
176,383,0.21,0.27,-110.8,-0.338,1.03285,3.16,0.61,10.3,2,3.0,4.3,B,***,0.0,787,1
177,385,0.26,-0.08,-3.75,0.049,1.0739,3.06,0.44,4.2,3,3.0,4.26,M,?,0.0,0,0
178,390,-1.21,1.92,11.3,0.048,0.96491,3.18,-0.69,10.3,4,2.0,3.62,R,*,0.0,576,1
179,392,-0.17,-0.39,1.9,0.036,0.94561,1.91,0.67,11.9,2,2.0,2.79,B,?,7.6923076923076925,1030,1
180,395,-0.95,0.39,-6.9,0.034,0.9942,3.18,0.46,11.5,3,2.0,3.37,R,**,0.0,530,1
181,397,0.33,0.3,27.8,0.036,0.99028,3.25,2.38,12.5,2,2.0,4.31,R,***,7.6923076923076925,605,1
182,402,0.665,0.19,66.1,0.048,0.99487,3.26,0.71,101.0,1,2.0,1.35,M,?,0.0,474,1
183,405,0.38,0.4,2.2,0.068,1.01176,4.35,1.86,17.6,5,1.0,3.52,M,?,0.0,0,0
184,409,0.41,1.06,65.0,0.096,0.99734,3.26,0.63,10.2,5,2.0,1.29,R,?,0.0,0,0
185,411,0.84,0.03,2.3,0.09,0.9952,4.36,0.56,101.0,2,1.0,2.23,R,?,0.0,0,0
186,413,-0.9,0.18,52.6,-0.082,0.96083,2.74,1.86,15.3,2,1.0,2.32,R,**,0.0,438,1
187,417,0.145,-0.53,9.1,0.229,0.99012,1.28,0.37,13.9,3,1.0,3.71,M,*,0.0,561,1
188,418,0.22,0.28,7.2,0.06,0.9935,2.99,0.23,8.5,3,3.0,6.83,r,**,0.0,621,1
189,419,1.17,0.52,20.8,-0.195,0.96596,2.0,1.33,14.6,3,3.0,1.73,R,***,0.0,615,1
190,421,-0.73,-0.32,1.4,0.025,0.9915,3.75,0.33,11.2,3,1.0,3.6,r,***,0.0,589,1
191,423,0.25,-1.08,5.7,0.052,0.99856,3.16,0.88,10.5,2,3.0,3.22,B,**,0.0,987,1
192,424,0.29,1.62,1.7,0.024,0.98923,3.5,0.59,6.4,2,1.0,3.51,M,*,0.0,548,1
193,425,0.63,0.44,28.4,0.648,1.03741,2.03,0.64,8.6,3,2.0,3.01,M,?,0.0,345,1
194,426,-1.01,-0.27,49.1,0.488,1.0739,2.63,0.55,12.7,2,2.0,2.84,R,**,0.0,762,1
195,427,0.49,1.2,3.2,-0.484,0.99126,2.71,0.58,9.9,1,1.0,1.98,B,*,0.0,937,1
196,429,0.32,0.25,2.3,0.043,0.94462,3.42,0.15,10.6,2,1.0,1.8,MM,?,7.6923076923076925,0,0
197,430,0.18,0.14,11.5,0.638,0.99406,3.11,-0.22,9.3,2,2.0,2.77,r,***,0.0,715,1
198,431,1.23,1.87,2.0,0.039,0.94425,3.63,0.41,11.2,3,1.0,5.78,R,*,0.0,442,1
199,432,1.22,0.47,2.5,-0.303,0.9981,3.24,0.84,7.7,6,2.0,1.04,R,***,0.0,575,1
200,437,-0.14,0.49,1.0,0.094,0.99136,3.08,0.59,9.1,5,1.0,2.02,R,?,0.0,0,0
201,442,1.12,0.27,5.2,-0.407,0.99172,3.22,1.09,12.3,3,1.0,6.59,R,***,0.0,534,1
202,443,0.65,1.53,99999.0,0.525,0.99474,3.08,0.5,21.4,3,3.0,3.53,MM,?,0.0,156,1
203,444,0.78,-0.49,56.35,0.048,1.00582,3.0,0.39,14.3,3,3.0,5.14,MM,*,7.6923076923076925,265,1
204,445,0.26,-0.87,-47.6,0.034,0.9972,3.28,-0.99,9.5,1,1.0,1.94,M,*,7.6923076923076925,457,1
205,446,-0.48,0.69,14.2,0.078,0.9958,3.0,0.26,18.2,8,3.0,3.3,r,*,7.6923076923076925,0,0
206,447,-1.22,1.82,14.3,-0.343,0.998,3.73,0.35,9.2,2,1.0,2.94,R,**,0.0,570,1
207,448,1.66,-0.32,16.0,0.312,1.00676,3.96,0.03,13.2,1,3.0,1.0,M,*,0.0,314,1
208,452,0.76,-1.29,2.7,0.263,0.96273,3.34,0.81,9.2,1,2.0,1.17,MB,***,0.0,748,1
209,463,0.24,-0.89,33.0,-0.163,0.992,4.02,0.49,11.2,1,3.0,2.01,B,?,0.0,0,0
210,468,-0.55,-0.03,7.6,0.029,0.99,2.12,0.42,12.2,2,1.0,1.43,R,**,0.0,429,1
211,469,0.5,1.37,3.6,0.082,0.9987,2.54,0.34,7.4,5,3.0,2.24,B,?,0.0,0,0
212,470,0.915,0.29,27.0,0.07,0.95114,3.53,0.54,6.9,3,2.0,1.87,r,*,0.0,0,0
213,471,0.21,1.16,6.3,0.042,0.99358,3.83,0.48,101.0,3,3.0,5.6,b,**,7.6923076923076925,682,1
214,475,0.6,0.22,2.1,0.08,0.99613,3.3,0.49,5.9,4,1.0,2.75,R,**,0.0,407,1
215,477,-1.65,0.27,18.15,0.042,1.0001,4.2,-0.85,101.0,2,1.0,4.5,B,*,0.0,686,1
216,481,0.28,0.4,22.0,0.048,1.01553,3.33,0.5,13.8,2,2.0,1.0,R,*,7.6923076923076925,579,1
217,485,1.17,-0.37,99999.0,0.264,0.99773,2.91,-0.76,9.7,3,1.0,3.79,R,***,0.0,307,1
218,487,0.63,0.0,4.3,0.103,1.0739,4.13,1.25,8.2,2,2.0,3.24,B,?,0.0,0,0
219,492,1.21,1.51,44.3,-0.465,0.94971,4.49,1.97,14.2,2,2.0,1.32,R,**,0.0,513,1
220,494,-0.52,0.35,1.7,0.061,0.97098,2.31,-0.86,13.9,4,1.0,6.34,B,?,0.0,0,0
221,496,0.24,0.29,70.1,0.42,1.02798,4.33,1.68,9.8,2,1.0,4.55,B,****,0.0,728,1
222,500,0.84,1.59,2.9,0.263,1.02333,2.71,1.1,12.2,6,1.0,5.83,M,**,0.0,469,1
223,501,1.82,1.75,-54.3,0.049,0.99748,3.24,-0.15,9.3,3,1.0,2.2,M,*,0.0,344,1
224,506,0.36,1.31,-49.25,-0.03,1.00361,3.0,1.51,4.0,3,1.0,6.53,R,****,0.0,796,1
