ID,Beneficio,Compra,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,Etiqueta,CalifProductor,Clasificacion,Region,PrecioBotella
80,623,1,-0.06,-1.57,-41.4,,0.99977,2.51,0.49,16.7,R,3,***,3,5.42
81,334,1,0.54,0.03,48.9,0.094,0.9982,4,0.8,9.2,m,5,*,1,1.13
82,186,1,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,MM,2,*,3,3.1
85,1155,1,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,B,2,****,3,2.17
86,361,1,0.17,0.3,56,0.034,0.99152,3.55,0.49,5.7,M,2,***,2,1.49
89,893,1,0.24,-1,43.6,0.043,1.03256,4.02,0.07,10.1,B,2,***,2,1.35
90,517,1,2.75,0.33,-16.8,,0.99082,4.14,0.58,16.9,R,2,***,3,1.32
95,356,1,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,R,4,*,2,2.65
100,363,1,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,R,5,?,1,2
103,0,0,0.04,-0.22,-9.7,0.628,0.99413,3.04,,11,M,4,?,3,4.63
104,513,1,-0.88,0.26,6.8,0.298,0.96461,,0.32,5.6,R,1,?,1,1.39
105,837,1,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,MB,3,***,2,3.66
112,338,1,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11,B,4,*,1,1.46
114,457,1,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,M,3,***,2,1.95
115,410,1,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,m,1,?,1,2.09
117,585,1,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,B,2,*,1,1.98
118,407,1,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,m,3,?,3,2.02
122,595,1,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,M,0,***,2,1.13
127,714,1,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,R,3,**,3,4.02
130,0,0,-0.2,1.73,2,0.124,0.99516,2.69,,16,R,5,?,3,2.89
133,472,1,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,M,2,**,,2.03
134,163,1,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,M,3,?,2,4.09
136,264,1,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,M,2,***,2,1.8
139,951,1,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,R,3,**,1,2.75
140,397,1,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,M,3,?,1,1.14
143,532,1,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,r,3,**,2,1.56
144,0,0,1.7,-1.03,3.4,0.048,0.9944,4.25,0.41,9.4,R,3,**,2,1
145,0,0,0.47,-0.86,-58.1,0.174,0.99514,,0.61,10.9,M,3,?,2,2.75
146,0,0,0.22,1.22,-50.4,0.26,1.03038,2.62,2.1,11,M,1,?,2,3.01
149,0,0,0.39,0.1,1.7,0.075,0.99581,3.09,0.43,9.7,m,4,?,3,5.21
150,747,1,0.22,1.87,59.8,,1.03646,4.23,0.42,8.7,b,2,**,3,1
158,923,1,-0.73,1.41,4,0.595,0.99787,3.47,,144,B,5,**,1,1
163,574,1,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,M,1,**,2,1.3
164,770,1,0.38,0.26,99999,0.035,0.97228,3.18,0.47,13.6,M,2,?,2,1.27
166,353,1,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,MM,2,**,1,3.95
170,690,1,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,B,4,?,1,1
171,878,1,0.52,0.36,1.5,,0.98976,4.31,1.29,18.3,R,1,***,1,1.04
172,465,1,0.25,0.28,7.7,0.871,1.045,1.85,,9.4,R,2,***,3,3.49
173,0,0,1.19,-0.09,2.2,0.219,0.99486,3.31,0.75,12.6,M,5,?,3,2.21
175,241,1,-0.93,0.53,99999,-0.024,1.00314,2.94,0.35,9.4,m,2,?,3,1.62
176,683,1,0.24,1.27,10.3,0.18,0.96793,,,8.1,R,4,?,3,3.49
177,708,1,3.06,1.59,4.9,0.028,0.9922,3.68,0.49,16.8,M,1,****,1,1.99
178,720,1,-0.74,0.15,1.1,0.414,0.97401,2.77,0.4,11.4,R,1,**,2,2.88
179,0,0,0.93,-0.62,1.9,0.08,1.02107,3.13,0.55,9.5,B,6,?,1,1.37
180,678,1,0.38,1.51,73.7,-0.271,1.01893,4.02,1.98,12.1,R,3,***,3,1.92
181,766,1,0.63,0.32,6.4,0.034,0.9924,3.23,-0.25,11.8,R,3,?,1,4.54
182,382,1,0.13,1.27,-15.1,0.04,0.9955,4.23,0.41,9,M,3,**,2,1.91
183,0,0,0.065,0.1,13,0.228,0.99741,3.1,0.5,3.2,B,3,*,3,1.54
185,500,1,0.34,-0.95,-21,0.028,0.98958,3.2,1.77,13.2,M,3,?,1,4.52
187,912,1,0.53,0.38,-40.3,,0.99062,2.88,0.6,18.3,B,4,***,1,2.54
188,523,1,1.21,0.34,7.8,-0.399,0.97462,3.21,-0.75,17.5,M,3,*,2,1.19
189,756,1,-0.72,0.15,99999,0.012,0.99609,2.95,,13.7,R,3,****,3,5.53
190,572,1,0.19,0.29,-51.1,0.042,0.99304,3.99,-0.75,10.3,B,2,***,3,1.88
194,719,1,1.53,0.32,1.1,0.115,0.99096,2.25,-0.81,8.9,R,2,?,2,2.25
197,333,1,0.16,0.32,-44.9,0.04,1.0458,3.27,0.96,10,M,3,**,2,2.43
198,472,1,-0.56,0.42,2.3,-0.139,0.9972,4.15,-0.65,10.9,M,3,**,1,2.11
201,332,1,-2.39,-0.24,1.5,-0.415,0.99238,4.05,-0.01,14.5,M,2,?,1,1.77
202,308,1,0.91,-2.16,88.1,0.036,1.04541,3.47,-0.66,9.1,M,2,?,2,2.33
204,276,1,0.27,1.26,10.7,-0.432,0.99669,3.13,0.48,16.8,M,5,**,2,2.67
205,688,1,-1.22,0.26,11,0.03,0.99402,1.9,0.36,11.2,b,2,****,1,2.07
206,949,1,0.155,1.43,-41,0.025,0.9934,3.18,0.61,3.9,R,3,***,1,2.29
209,1123,1,0.21,-0.15,99999,0.034,0.9917,3.3,,11.2,B,3,****,2,2.92
210,381,1,0.01,1.42,8.4,-0.251,1.03166,3.09,-1.38,8.8,R,3,?,3,4.5
211,0,0,0.55,-0.28,99999,0.149,0.9959,2.14,,9.7,R,3,?,3,2.36
214,471,1,-0.63,-0.95,13.4,-0.336,0.9989,3.22,0.53,9,B,3,*,3,1
215,0,0,1.695,0.11,4.1,0.481,0.96126,2.66,0.38,12.5,R,4,?,1,1
216,0,0,0.22,-0.6,137.6,0.316,0.99834,3.05,1.79,9.1,R,2,*,1,6.18
218,0,0,-0.86,0.25,-36.9,0.045,1.04206,4.26,0.43,15,R,2,*,2,1.04
220,269,1,0.99,0.15,1.2,0.053,1.03601,3.86,0.43,9.2,M,3,*,1,1.15
221,0,0,0.24,0.46,2.2,0.033,1.02888,,0.25,5.4,m,2,**,2,1.36
224,0,0,0.625,0.16,2,,0.9962,3.14,0.23,11,MB,4,?,2,2.15
225,0,0,0.42,0.26,-32.9,0.088,1.08975,2.81,0.55,9.2,MM,3,?,3,3.01
227,419,1,0.655,-1.19,48.8,-0.236,0.96197,2.71,0.88,5.3,B,2,***,1,2.59
233,0,0,0.35,0.53,2.6,0.07,0.9972,3.15,-0.16,11,B,7,?,3,2.18
235,667,1,0.835,0.16,141.15,0.051,0.99564,3.67,,10.8,R,1,***,2,3.78
238,371,1,0.32,-0.59,8.3,0.036,1.00919,4.23,0.52,12.6,M,2,?,1,5.14
239,564,1,-1.04,-0.38,5.9,0.448,1.0167,3.12,0.66,15.7,R,2,*,1,5.22
245,681,1,0.42,1.48,-51.4,-0.339,0.99013,3.14,0.88,18.5,B,2,?,3,1.35
250,0,0,0.86,0.36,39.6,-0.29,0.9982,3.23,0.51,9.3,R,4,?,1,1
253,0,0,-0.2,0.56,1.9,-0.278,1.07733,4.83,0.58,8.7,B,7,?,3,2.41
254,764,1,0.23,1.94,3.2,0.775,1.02365,3.02,1.29,13.3,R,5,**,3,4.07
258,990,1,0.31,-0.49,53.3,0.036,1.03461,2.12,-0.67,6.1,b,3,***,3,2.26
261,594,1,-0.48,-0.88,14.8,-0.313,0.97751,3.12,0.69,14.5,M,3,**,2,3.11
262,446,1,0.17,0.27,1.4,0.032,0.99254,3.14,0.67,111,R,2,***,2,3.4
263,540,1,0.18,0.28,41.5,0.041,0.99207,3.13,0.45,9.3,R,2,**,3,5.86
265,612,1,-0.35,0.65,17.6,-0.124,0.9923,3.91,0.47,3,B,2,**,1,1.87
267,855,1,0.18,0.35,1.5,0.049,1.03452,3.7,0.04,10.2,B,2,**,2,2.02
270,0,0,0.33,-0.29,99999,-0.312,0.97143,3.05,,9.2,B,3,?,1,2.61
271,420,1,0.29,-0.3,1.4,0.666,0.98378,2.07,-1.24,9,R,3,***,3,1.96
272,505,1,1.18,0.3,13,-0.633,1.08993,3.72,,7.6,R,3,*,2,1
274,703,1,-0.4,1.24,-33.3,-0.522,0.98962,3.19,0.75,12.4,M,2,***,2,1.78
280,670,1,1.35,1.54,-11.7,-0.098,0.9891,3.03,-0.55,13.3,R,2,*,3,2.32
282,533,1,1.74,0.19,-33.6,,0.99364,3.34,0.72,10.1,R,2,***,1,1
287,330,1,2.68,2.06,1.1,0.564,0.99445,3.15,1.84,13.7,R,2,?,3,1.14
289,0,0,2.01,0.91,-7.7,0.645,1.0395,3.46,0.72,10.2,R,2,?,3,4.84
291,704,1,0.27,0.31,-24.6,-0.194,1.01824,4.17,0.66,14.2,R,2,?,3,1.16
293,0,0,0.3,0.3,23.9,0.041,0.89652,3.31,,18.2,R,2,?,1,1.49
296,0,0,0.22,0.21,-24.7,0.588,0.98675,3.1,0.55,17.4,r,3,?,1,1.55
298,0,0,0.33,-2.08,-56,0.04,0.9828,4.21,1.88,11,MM,3,*,2,2.35
305,574,1,0.25,1.83,-45.4,0.049,0.99154,3.17,0.48,13.4,M,3,**,2,1.19
306,953,1,0.48,1.06,1.8,0.034,0.991,3.68,-1.94,12.6,b,3,****,3,1.7
307,275,1,0.21,0.28,7.5,0.07,1.0955,2.87,1.03,9.4,M,2,?,3,2.8
309,0,0,0.18,1.16,10.3,-0.52,0.96348,2.77,2.03,10.6,B,2,?,3,5.15
310,245,1,1.64,1.97,75.6,-0.124,0.96292,2.94,0.44,9.1,M,3,**,3,1.39
311,277,1,-0.27,0.52,-12.1,-0.13,0.9969,3.25,2.3,7.6,M,5,**,3,1.39
312,984,1,-1,0.46,6.3,0.032,0.99214,2.21,1.52,5.5,B,2,****,3,1.76
314,279,1,0.18,0.36,64.8,0.034,0.99074,3.16,,11,MM,2,?,2,1
315,575,1,0.32,1.7,60.7,-0.551,0.99463,3.27,1.21,11.3,M,3,***,1,1.04
316,494,1,0.28,0.35,28.9,0.054,0.99178,4.2,,10.7,R,3,**,3,2.05
317,447,1,1.08,0.6,53.5,0.064,1.0439,3.68,,10.3,B,2,***,1,2.74
321,842,1,-0.65,3.09,70.6,0.421,0.995,2.45,0.78,17.9,B,3,***,2,2.63
322,690,1,-0.82,1.11,12.5,0.035,0.98535,2.88,1.65,5.2,R,2,**,2,1.24
325,741,1,0.14,0.33,-44.7,0.104,0.99057,2.99,1.47,20.9,R,3,***,,3.15
326,1097,1,0.33,0.62,99999,0.038,1.01853,3.23,0.43,13.4,B,3,***,2,1
328,296,1,0.24,0.55,-46.2,-0.202,0.99931,2.9,-0.94,2.8,M,2,?,3,1.12
332,437,1,0.7,0.29,46.5,0.499,1.02159,3.68,0.46,10.3,r,1,***,2,2.83
334,0,0,0.68,-1.28,1.8,0.087,0.9944,4.11,0.52,10,MM,2,?,3,1.41
335,771,1,0.12,1.41,52.9,0.046,1.04495,2.36,-1.21,10.6,R,2,**,1,1.11
340,399,1,1.63,0.8,5.2,0.076,0.99138,2.95,0.11,6.6,M,4,**,3,1.87
341,999,1,-1.1,-0.32,-45.9,0.028,0.99484,3.13,1.77,10.9,M,2,**,3,1.4
345,0,0,0.03,0.13,1.2,0.452,0.99114,3.94,0.22,10.6,R,2,*,2,4.41
349,0,0,0.61,0.49,2.3,0.099,0.97962,3.38,,15.1,R,4,?,2,1.98
352,0,0,0.35,0.3,-70,0.299,0.96256,2.66,1.34,11,M,2,?,1,4.03
353,457,1,3.18,0.26,12.5,0.049,0.95985,2.81,1.01,3.9,R,1,**,2,3.01
354,495,1,0.34,-0.15,4,0.064,0.9984,2.68,1.36,10.2,r,5,?,2,3.01
355,560,1,0.26,0.29,56.7,-0.623,0.99479,3.8,0.56,13.7,R,2,***,1,1.07
356,133,1,0.57,0.1,-10,0.094,0.9972,4.33,3.75,9.2,M,3,*,3,2.2
359,0,0,0.575,0.81,2.6,0.587,0.98409,3.16,-2.69,9,B,7,?,1,1.49
362,739,1,0.55,-0.25,-21.5,0.029,1.01737,2.02,-2.02,9.8,M,2,***,2,2.96
363,0,0,0.33,1.3,2.6,-0.031,0.99782,3.3,,9.4,B,4,?,,2.39
364,150,1,0.33,0.64,99999,0.056,0.9972,3.42,1.47,6,MM,3,?,3,3.1
365,593,1,0.48,0.3,1.5,0.037,0.97418,4.35,-1.22,15.5,R,2,**,3,2.9
369,373,1,-0.77,1.23,4.6,0.338,0.99018,3.04,0.43,13.1,M,4,*,2,1.5
370,519,1,-0.48,0.29,54.4,-0.216,1.00726,3.33,-2.35,11,M,2,?,1,3.73
371,780,1,0.23,0.42,-100.7,0.044,0.96061,3.22,0.48,11.8,R,2,*,3,1.09
375,0,0,-1.25,0.31,1.7,0.079,0.99716,3.43,1.12,2.8,b,3,?,1,2
377,885,1,0.41,0.3,3.2,,0.9927,2.37,1.5,11.7,R,2,**,3,6.79
381,0,0,1.93,0.24,1.7,0.077,1.04248,2.81,0.6,145,B,2,*,1,1.77
382,726,1,-0.29,-1.34,-10.2,0.024,0.99234,3.37,0.58,12.5,b,1,****,2,5.47
383,787,1,0.21,0.27,-110.8,-0.338,1.03285,3.16,0.61,10.3,B,2,***,3,4.3
385,0,0,0.26,-0.08,-3.75,0.049,1.07817,3.06,0.44,4.2,M,3,?,3,4.26
390,576,1,-1.21,1.92,11.3,0.048,0.96491,3.18,-0.69,10.3,R,4,*,2,3.62
392,1030,1,-0.17,-0.39,1.9,0.036,0.94561,1.91,,11.9,B,2,?,2,2.79
395,530,1,-0.95,0.39,-6.9,0.034,0.9942,3.18,0.46,11.5,R,3,**,2,3.37
397,605,1,0.33,0.3,27.8,0.036,0.99028,3.25,2.38,12.5,R,2,***,,4.31
402,474,1,0.665,0.19,66.1,0.048,0.99487,3.26,0.71,116,M,1,?,2,1.35
405,0,0,0.38,0.4,2.2,0.068,1.01176,4.35,1.86,17.6,M,5,?,1,3.52
409,0,0,0.41,1.06,65,0.096,0.99734,3.26,0.63,10.2,R,5,?,2,1.29
411,0,0,0.84,0.03,2.3,0.09,0.9952,4.36,0.56,128,R,2,?,1,2.23
413,438,1,-0.9,0.18,52.6,-0.082,0.96083,2.74,1.86,15.3,R,2,**,1,2.32
417,561,1,0.145,-0.53,9.1,0.229,0.99012,1.28,0.37,13.9,M,3,*,1,3.71
418,621,1,0.22,0.28,7.2,0.06,0.9935,2.99,0.23,8.5,r,3,**,3,6.83
419,615,1,1.17,0.52,20.8,-0.195,0.96596,2,1.33,14.6,R,3,***,3,1.73
421,589,1,-0.73,-0.32,1.4,0.025,0.9915,3.75,0.33,11.2,r,3,***,1,3.6
423,987,1,0.25,-1.08,5.7,0.052,0.99856,3.16,0.88,10.5,B,2,**,3,3.22
424,548,1,0.29,1.62,1.7,0.024,0.98923,3.5,0.59,6.4,M,2,*,1,3.51
425,345,1,0.63,0.44,28.4,0.648,1.03741,2.03,0.64,8.6,M,3,?,2,3.01
426,762,1,-1.01,-0.27,49.1,0.488,1.0817,2.63,0.55,12.7,R,2,**,2,2.84
427,937,1,0.49,1.2,3.2,-0.484,0.99126,2.71,0.58,9.9,B,1,*,1,1.98
429,0,0,0.32,0.25,2.3,,0.94462,3.42,0.15,10.6,MM,2,?,1,1.8
430,715,1,0.18,0.14,11.5,0.638,0.99406,3.11,-0.22,9.3,r,2,***,2,2.77
431,442,1,1.23,1.87,2,0.039,0.94425,3.63,0.41,11.2,R,3,*,1,5.78
432,575,1,1.22,0.47,2.5,-0.303,0.9981,3.24,0.84,7.7,R,6,***,2,1.04
437,0,0,-0.14,0.49,1,0.094,0.99136,3.08,0.59,9.1,R,5,?,1,2.02
442,534,1,1.12,0.27,5.2,-0.407,0.99172,3.22,1.09,12.3,R,3,***,1,6.59
443,156,1,0.65,1.53,99999,0.525,0.99474,3.08,0.5,21.4,MM,3,?,3,3.53
444,265,1,0.78,-0.49,56.35,0.048,1.00582,3,,14.3,MM,3,*,3,5.14
445,457,1,0.26,-0.87,-47.6,0.034,0.9972,3.28,-0.99,9.5,M,1,*,,1.94
446,0,0,-0.48,0.69,14.2,0.078,0.9958,3,,18.2,r,8,*,3,3.3
447,570,1,-1.22,1.82,14.3,-0.343,0.998,3.73,0.35,9.2,R,2,**,1,2.94
448,314,1,1.66,-0.32,16,0.312,1.00676,3.96,0.03,13.2,M,1,*,3,1
452,748,1,0.76,-1.29,2.7,0.263,0.96273,3.34,0.81,9.2,MB,1,***,2,1.17
463,0,0,0.24,-0.89,33,-0.163,0.992,4.02,0.49,11.2,B,1,?,3,2.01
468,429,1,-0.55,-0.03,7.6,0.029,0.99,2.12,0.42,12.2,R,2,**,1,1.43
469,0,0,0.5,1.37,3.6,0.082,0.9987,2.54,0.34,7.4,B,5,?,3,2.24
470,0,0,0.915,0.29,27,0.07,0.95114,3.53,0.54,6.9,r,3,*,2,1.87
471,682,1,0.21,1.16,6.3,0.042,0.99358,3.83,,116,b,3,**,3,5.6
475,407,1,0.6,0.22,2.1,0.08,0.99613,3.3,0.49,5.9,R,4,**,1,2.75
477,686,1,-1.65,0.27,18.15,0.042,1.0001,4.2,-0.85,108,B,2,*,1,4.5
481,579,1,0.28,0.4,22,0.048,1.01553,,0.5,13.8,R,2,*,2,1
485,307,1,1.17,-0.37,99999,0.264,0.99773,2.91,-0.76,9.7,R,3,***,1,3.79
487,0,0,0.63,0,4.3,0.103,1.08949,4.13,1.25,8.2,B,2,?,2,3.24
492,513,1,1.21,1.51,44.3,-0.465,0.94971,4.49,1.97,14.2,R,2,**,2,1.32
494,0,0,-0.52,0.35,1.7,0.061,0.97098,2.31,-0.86,13.9,B,4,?,1,6.34
496,728,1,0.24,0.29,70.1,0.42,1.02798,4.33,1.68,9.8,B,2,****,1,4.55
500,469,1,0.84,1.59,2.9,0.263,1.02333,2.71,1.1,12.2,M,6,**,1,5.83
501,344,1,1.82,1.75,-54.3,0.049,0.99748,3.24,-0.15,9.3,M,3,*,1,2.2
506,796,1,0.36,1.31,-49.25,-0.03,1.00361,3,1.51,4,R,3,****,1,6.53
509,399,1,0.38,-0.93,8.3,0.271,0.99627,,0.52,19.2,R,3,?,1,3.89
511,343,1,-0.6,0.29,42.7,,1.0114,3.25,0.45,8,M,2,*,1,3.63
512,770,1,-0.16,-2.55,48.9,-0.304,1.08899,3.04,1.31,137,B,4,***,1,1.1
514,472,1,0.29,0.4,7.6,-0.571,0.99337,3.04,,6.5,R,3,**,1,5.01
515,0,0,1.32,1.31,3.3,0.1,0.9982,1.7,0.53,15.9,R,5,?,2,2.09
516,0,0,0.66,0.58,2.3,0.078,0.99743,2.73,0.57,23.5,R,3,?,1,3.18
517,469,1,-0.32,1.07,54.7,0.181,0.99125,3.46,-1.16,11.1,M,2,*,1,3.49
523,520,1,0.7,-0.14,3.3,0.044,1.0418,3.49,1.55,10.8,B,2,***,3,5.12
527,821,1,-0.1,0.06,-50.9,0.668,0.995,3.28,1.42,6.9,b,4,*,2,1.05
529,549,1,-0.05,1.56,59.3,0.335,0.9934,3.23,0.52,9.2,R,2,*,3,1.49
530,0,0,0.2,0.42,22,0.041,0.9925,1.83,0.49,11.4,R,4,?,3,4.27
532,0,0,2.08,0.98,37.2,0.088,0.9997,2.48,0.6,13.7,R,9,?,3,4.12
534,215,1,0.69,0.32,32,0.471,0.97688,3.29,-1.01,6.3,M,6,*,3,2.77
535,602,1,0.26,0.69,1.7,-0.66,0.9925,4.34,0.54,10.1,B,2,**,2,3.79
541,928,1,0.24,-0.37,70.9,0.035,0.96616,3.17,-0.83,8.3,b,2,*,3,2.51
543,181,1,0.3,1.36,-47.1,0.332,0.94414,3.36,-0.35,9,MM,2,?,2,1.43
544,462,1,0.41,0.09,65.7,0.048,0.99454,3.44,1.73,9.8,R,2,***,3,1.7
546,532,1,0.28,-0.96,1.9,0.615,0.90037,3.15,1.12,9.4,R,3,**,2,1.2
547,0,0,0.6,0.49,21,-0.496,0.9994,4.09,0.57,15.6,M,9,?,1,2.65
548,613,1,0.33,0.19,50.2,0.027,0.9893,3.67,0.38,9.7,R,1,*,2,1.52
552,676,1,0.44,0.26,131.75,-0.245,0.99117,3.17,-0.61,7.3,R,4,***,2,1.02
553,712,1,0.26,0.42,-43.8,,0.96671,2.49,0.45,15.7,R,3,**,3,2
558,328,1,0.29,0.52,-12.1,0.164,1.04617,3.16,0.51,15.6,M,2,**,3,1.3
563,781,1,2.955,0.2,74.4,0.071,1.03108,1.73,1.26,3.2,r,3,**,2,3.48
567,0,0,-0.385,0,39.5,-0.571,1.00467,3.48,0.56,9.6,R,3,?,3,1.1
571,0,0,0.3,1.74,99999,0.054,0.9956,3.12,0.38,112,mm,3,?,1,1.36
572,0,0,0.3,0.9,4.5,0.652,0.99513,2.77,-0.29,11.3,B,3,?,1,3.3
574,0,0,0.28,-0.91,-52.4,0.067,1.0078,3.25,0.55,13,M,5,?,2,2.35
575,442,1,0.52,-0.63,-22.6,0.128,0.9972,3.27,1.41,4.1,R,3,**,3,1
576,511,1,0.22,0.48,1.5,0.662,0.9944,2.25,-0.29,2.4,B,3,***,2,1.17
583,0,0,1.105,0,-85.3,0.39,0.9846,3.34,-0.7,6,R,3,?,2,1.29
588,0,0,0.49,0.28,42.6,0.11,1.01233,2.93,1.95,9.9,B,4,?,3,3.93
590,591,1,0.26,1.37,3.8,0.029,0.99011,4.13,0.34,12,R,2,*,3,4.74
591,400,1,0.27,1.81,20.5,0.044,0.99077,3.14,2.01,11.7,R,2,***,3,1
592,719,1,0.885,0.27,2.3,0.084,0.97161,2.75,0.53,9.4,B,6,**,2,1.66
593,817,1,0.34,0.22,38,0.046,1.0571,2.94,-0.42,10.1,B,2,**,1,1.09
594,377,1,0.55,0.44,-5,0.043,0.98659,4.38,0.48,-0.2,R,2,*,3,2.32
595,536,1,0.2,0.36,20.4,0.066,0.995,4.16,2.2,10.9,M,3,**,2,1.63
601,0,0,2.81,0.8,-0.4,0.053,1.0039,3.22,0.39,11.5,MB,1,?,2,3.41
603,451,1,-2.65,2.01,4.9,0.028,0.9932,3.04,0.4,11.3,M,5,?,3,1.07
604,419,1,-1.09,0.87,-62.8,0.27,1.01897,3.13,0.36,3.7,R,2,*,2,1.64
606,764,1,0.3,-0.23,-115.2,0.058,0.93754,3.95,-0.65,21.1,R,2,?,3,6.66
607,0,0,0.64,-0.16,-7.4,-0.378,0.97551,,1.89,9.8,R,3,*,,1.88
608,789,1,1.31,0.41,10.8,,0.9887,1.63,-0.33,11,M,2,*,3,1.1
611,0,0,0.48,0.64,2.2,0.111,0.997,3.26,2.15,11.7,B,7,?,1,1.04
614,471,1,0.885,0,41.3,0.899,0.99551,3.56,-0.52,10.2,R,2,**,1,5.21
618,876,1,1.19,0.32,36.9,0.273,0.99137,2.04,1.89,16.8,B,1,****,1,1.31
